"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"P1: POST /idp/suggest-roles with empty skills — API accepts it.","262","test_p1_idp_suggest_roles_empty","tests.api","Sun May 17 16:03:34 UTC 2026","passed","Sun May 17 16:03:34 UTC 2026","TestAuthIDPP1","test_auth","",""
"","215","test_p1_create_module_missing_title","tests.api","Sun May 17 16:04:51 UTC 2026","passed","Sun May 17 16:04:52 UTC 2026","TestCoursesModulesP1","test_courses","",""
"","242","test_p1_university_nonexistent","tests.api","Sun May 17 16:04:23 UTC 2026","passed","Sun May 17 16:04:23 UTC 2026","TestAuthNewP1","test_auth","",""
"P1: GET /api/v1/tenants/99999/sub-accounts/99999/limit → 404.","256","test_p1_sub_account_limit_nonexistent","tests.api","Sun May 17 16:04:43 UTC 2026","passed","Sun May 17 16:04:44 UTC 2026","TestBillingNewEndpointsP1","test_billing","",""
"P0: Business metrics returns 200.","282","test_business_metrics","tests.api","Sun May 17 16:04:27 UTC 2026","passed","Sun May 17 16:04:28 UTC 2026","TestBillingHealth","test_billing","",""
"P0: POST /api/v1/lessons/{id}/bookmarks.","291","test_post_lesson_bookmark","tests.api","Sun May 17 16:05:19 UTC 2026","passed","Sun May 17 16:05:19 UTC 2026","TestCoursesNewEndpoints","test_courses","",""
"P1: POST /api/v1/subscriptions/99999/grant → 404.","208","test_p1_grant_sub_nonexistent","tests.api","Sun May 17 16:04:43 UTC 2026","passed","Sun May 17 16:04:43 UTC 2026","TestBillingNewEndpointsP1","test_billing","",""
"","217","test_p1_approve_nonexistent","tests.api","Sun May 17 16:04:21 UTC 2026","passed","Sun May 17 16:04:21 UTC 2026","TestAuthNewP1","test_auth","",""
"","313","test_delete_my_resume","tests.api","Sun May 17 16:17:01 UTC 2026","passed","Sun May 17 16:17:01 UTC 2026","TestResume","test_resumes","",""
"POST /universities/99999/assign-admin → 404.","219","test_p1_assign_admin_nonexistent_university","tests.api","Sun May 17 16:02:53 UTC 2026","passed","Sun May 17 16:02:53 UTC 2026","TestAuthAssignUniAdminP1","test_auth","",""
"","687","test_match_a_jd_json_against_all_existing_resume","tests.api","Sun May 17 16:02:29 UTC 2026","passed","Sun May 17 16:02:30 UTC 2026","TestAuthUniversity","test_auth","",""
"P0: Retrieve persisted match results for a JD.","232","test_get_stored_match_results","tests.api","Sun May 17 16:03:12 UTC 2026","passed","Sun May 17 16:03:12 UTC 2026","TestAuthStoredMatchResults","test_auth","",""
"DELETE /api/assessments/{id}/questions/99999 → 404.","245","test_p1_delete_question_nonexistent","tests.api","Sun May 17 16:03:05 UTC 2026","passed","Sun May 17 16:03:05 UTC 2026","TestAuthAssessmentQuestionsP1","test_auth","",""
"P1: GET /api/shortlist/1 without token → 401/403.","246","test_p1_get_shortlist_no_auth","tests.api","Sun May 17 16:03:14 UTC 2026","passed","Sun May 17 16:03:14 UTC 2026","TestAuthShortlistGetP1","test_auth","",""
"Create a draft assessment for lifecycle tests.","241","test_setup_create_for_lifecycle","tests.api","Sun May 17 16:03:47 UTC 2026","passed","Sun May 17 16:03:47 UTC 2026","TestAuthAssessmentLifecycle","test_auth","",""
"","312","test_popular_content","tests.api","Sun May 17 16:05:00 UTC 2026","passed","Sun May 17 16:05:00 UTC 2026","TestCoursesAnalytics","test_courses","",""
"GET /api/jd/99999/matches → 404.","218","test_p1_get_jd_matches_nonexistent","tests.api","Sun May 17 16:03:46 UTC 2026","passed","Sun May 17 16:03:46 UTC 2026","TestAuthJDExtended","test_auth","",""
"P0: GET /api/v1/it-journey/roles — list available IT roles.","255","test_get_it_journey_roles_list","tests.api","Sun May 17 16:06:06 UTC 2026","passed","Sun May 17 16:06:06 UTC 2026","TestJobsITJourney","test_jobs_endpoints","",""
