"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","Admin Dashboard Health","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","Job Details","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","1","0","Mentor Profile","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","1","0","AI Matchmaking","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","IDP Course Requests","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","1","0","Spending Controls","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","1","0","Service Metrics","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","2","0","Content Insights","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","1","0","Course Discovery","0"
"0","Production Smoke P0","0","Resumes Service - ATS & AI Builder","1","0","AI Resume Enhancement","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","2","0","Profile Management","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","2","0","Quiz Assessment Analytics","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","Admin Dashboard Overview","0"
"0","Production Smoke P0","0","Courses Service - Learning Management","1","0","Curriculum Delivery","0"
"0","Production Smoke P0","0","Auth Service - Identity & Permissions","1","0","Individual Development Plan","0"
"0","Production Smoke P0","0","Billing Service - Revenue & Wallets","1","0","Gateway Health","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Role Recommendations","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","1","0","Notifications","0"
"0","Production Smoke P0","0","Interview Service - AI Mock Interviews","1","0","Service Health","0"
"0","Production Smoke P0","0","Mentorship Service - Mentors & Bookings","1","0","Skills Taxonomy","0"
"0","Production Smoke P0","0","Jobs Service - Career & Listings","3","0","Career Journey","0"
