"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST /v1/analyze/frame without token → 401/403.","1","test_p1_analyze_frame_no_auth","tests.api","2026-07-03","broken","2026-07-03","TestAIInterviewP1","test_interview","",""
"","0","test_create_module","tests.api","2026-07-03","failed","2026-07-03","TestCoursesModules","test_courses","",""
"","0","test_update_user_roles","tests.api","2026-07-03","failed","2026-07-03","TestAuthProtected","test_auth","",""
"P1: GET without token → 401/403.","1","test_p1_get_skill_scores_no_auth","tests.api","2026-07-03","broken","2026-07-03","TestQuizNewEndpointsP1","test_quiz","",""
"","0","test_get_questions","tests.api","2026-07-03","failed","2026-07-03","TestAuthAssessmentsCRUD","test_auth","",""
"","1","test_p1_create_course_no_auth","tests.api","2026-07-03","broken","2026-07-03","TestCoursesCRUDP1","test_courses","",""
"
        Populate endpoint may be admin-only.
        Allow non-5xx responses.
        ","0","test_populate_database","tests.api","2026-07-03","failed","2026-07-03","TestJobsReal","test_jobs_endpoints","",""
"","0","test_record_quiz_question_result","tests.api","2026-07-03","failed","2026-07-03","TestCoursesAnalytics","test_courses","",""
"","0","test_get_user_evaluation_by_id_admin_p0","tests.api","2026-07-03","failed","2026-07-03","TestQuizAPIs","test_quiz","",""
"","0","test_export_resume_pdf","tests.api","2026-07-03","failed","2026-07-03","TestResume","test_resumes","",""
"Get shortlisted candidates for a JD.","0","test_get_shortlisted","tests.api","2026-07-03","failed","2026-07-03","TestRecruitmentShortlist","test_recruitment","",""
"P1: GET /mentors/99999/ratings → 200 (empty) or 404.","0","test_p1_mentor_ratings_nonexistent","tests.api","2026-07-03","failed","2026-07-03","TestMentorshipRatings","test_mentorship","",""
"P1: POST /jobs without token → 401/403.","1","test_p1_create_job_no_auth","tests.api","2026-07-03","broken","2026-07-03","TestJobsP1","test_jobs_endpoints","",""
"P1: GET /api/v1/resumes/99999/skills → 404.","0","test_p1_skills_nonexistent","tests.api","2026-07-03","failed","2026-07-03","TestResumeNewEndpointsP1","test_resumes","",""
"","0","test_flag_course_review","tests.api","2026-07-03","failed","2026-07-03","TestCoursesReviews","test_courses","",""
"","0","test_get_user_history","tests.api","2026-07-03","failed","2026-07-03","TestAIInterview","test_interview","",""
"","0","test_practice_questions","tests.api","2026-07-03","failed","2026-07-03","TestCoursesQuizzes","test_courses","",""
"P0: Publish an assessment.","0","test_publish_assessment","tests.api","2026-07-03","failed","2026-07-03","TestAuthAssessmentLifecycle","test_auth","",""
"","0","test_p1_record_quiz_result_empty","tests.api","2026-07-03","failed","2026-07-03","TestCoursesAnalyticsP1","test_courses","",""
"","0","test_p1_idp_save_empty","tests.api","2026-07-03","failed","2026-07-03","TestAuthNewP1","test_auth","",""
"P1: GET /me without token → 401.","1","test_p1_get_me_no_auth","tests.api","2026-07-03","broken","2026-07-03","TestMentorshipProfile","test_mentorship","",""
"P0: GET /v1/user/{id}/history — user history.","0","test_get_user_history_new","tests.api","2026-07-03","failed","2026-07-03","TestInterviewNewEndpoints","test_interview","",""
