"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","304","test_p1_create_assessment_empty","tests.api","Sat May 23 22:11:30 UTC 2026","passed","Sat May 23 22:11:30 UTC 2026","TestQuizP1","test_quiz","",""
"P0: AI-create assessment via Gemini.","2726","test_ai_create_assessment","tests.api","Sat May 23 21:58:54 UTC 2026","passed","Sat May 23 21:58:57 UTC 2026","TestAuthAssessments","test_auth","",""
"","305","test_p1_delete_coding_question_nonexistent","tests.api","Sat May 23 22:11:33 UTC 2026","passed","Sat May 23 22:11:33 UTC 2026","TestQuizP1","test_quiz","",""
"P1: DEL /v1/mentors/99999/profile → 404.","291","test_p1_delete_mentor_profile_nonexistent","tests.api","Sat May 23 22:02:23 UTC 2026","passed","Sat May 23 22:02:23 UTC 2026","TestMentorshipNewEndpointsP1","test_mentorship","",""
"P1: Regular (non-admin) user cannot access admin skills endpoint → 403.","295","test_p1_admin_get_skills_regular_user_forbidden","tests.api","Sat May 23 22:12:04 UTC 2026","passed","Sat May 23 22:12:04 UTC 2026","TestResumeAdmin","test_resumes","",""
"P0: DEL /api/v1/courses/{cid}/modules/{mid} — delete a module.","305","test_delete_module_safe","tests.api","Sat May 23 22:01:10 UTC 2026","passed","Sat May 23 22:01:10 UTC 2026","TestCoursesNewEndpoints","test_courses","",""
"","305","test_p1_create_question_missing_fields","tests.api","Sat May 23 22:01:07 UTC 2026","passed","Sat May 23 22:01:08 UTC 2026","TestCoursesQuizzesP1","test_courses","",""
"P1: PUT /companies/nonexistent → 404.","284","test_p1_update_company_nonexistent","tests.api","Sat May 23 22:01:48 UTC 2026","passed","Sat May 23 22:01:48 UTC 2026","TestJobsP1","test_jobs_endpoints","",""
"P0: POST /v1/user/{id}/profile — create/update user profile.","304","test_post_user_profile","tests.api","Sat May 23 22:01:33 UTC 2026","passed","Sat May 23 22:01:33 UTC 2026","TestInterviewNewEndpoints","test_interview","",""
"PUT /auth/users/{id}/roles without token → 401/403.","337","test_p1_update_roles_no_auth","tests.api","Sat May 23 21:58:28 UTC 2026","passed","Sat May 23 21:58:28 UTC 2026","TestAuthProtectedP1","test_auth","",""
"","290","test_get_all_interviews_for_a_jd","tests.api","Sat May 23 21:58:43 UTC 2026","passed","Sat May 23 21:58:44 UTC 2026","TestAuthUniversityP1","test_auth","",""
"P1: GET /v1/internal/skill-scores/99999 → 404 or empty.","304","test_p1_get_skill_scores_nonexistent_user","tests.api","Sat May 23 22:11:46 UTC 2026","failed","Sat May 23 22:11:47 UTC 2026","TestQuizNewEndpointsP1","test_quiz","",""
"GET /auth/universities/99999/groups → 200 empty or 404.","286","test_p1_list_university_groups_invalid_id","tests.api","Sat May 23 21:58:37 UTC 2026","passed","Sat May 23 21:58:37 UTC 2026","TestAuthUniversityP1","test_auth","",""
"","300","test_delete_job","tests.api","Sat May 23 22:01:42 UTC 2026","passed","Sat May 23 22:01:42 UTC 2026","TestJobsReal","test_jobs_endpoints","",""
"P1: GET /reports/usage-heatmap without required dates → 422.","291","test_p1_heatmap_no_dates","tests.api","Sat May 23 22:00:30 UTC 2026","passed","Sat May 23 22:00:31 UTC 2026","TestBillingReports","test_billing","",""
"GET /v1/user/{id}/history without token → 401/403.","334","test_p1_get_user_history_no_auth","tests.api","Sat May 23 22:01:28 UTC 2026","passed","Sat May 23 22:01:28 UTC 2026","TestAIInterviewP1","test_interview","",""
"","285","test_parse_resume","tests.api","Sat May 23 22:11:54 UTC 2026","passed","Sat May 23 22:11:54 UTC 2026","TestResume","test_resumes","",""
"","304","test_p1_idp_save_empty","tests.api","Sat May 23 22:00:14 UTC 2026","passed","Sat May 23 22:00:14 UTC 2026","TestAuthNewP1","test_auth","",""
"P0: Update current user's mentorship profile.","299","test_update_me","tests.api","Sat May 23 22:01:56 UTC 2026","passed","Sat May 23 22:01:57 UTC 2026","TestMentorshipProfile","test_mentorship","",""
"","314","test_get_interview_analysis","tests.api","Sat May 23 22:01:22 UTC 2026","passed","Sat May 23 22:01:22 UTC 2026","TestAIInterview","test_interview","",""
"","0","test_admin_flag_review","tests.api","Sat May 23 22:00:56 UTC 2026","skipped","Sat May 23 22:00:56 UTC 2026","TestCoursesAdmin","test_courses","",""
"","288","test_promote_admin","tests.api","Sat May 23 21:59:56 UTC 2026","passed","Sat May 23 21:59:56 UTC 2026","TestAuthCompanyExtended","test_auth","",""
"","286","test_reject_my_pending_university_invite","tests.api","Sat May 23 21:58:29 UTC 2026","passed","Sat May 23 21:58:30 UTC 2026","TestAuthUniversity","test_auth","",""
"GET /api/assessments/99999 → 404.","289","test_p1_get_assessment_nonexistent","tests.api","Sat May 23 21:59:00 UTC 2026","passed","Sat May 23 21:59:00 UTC 2026","TestAuthAssessmentsP1","test_auth","",""
"P0: GET /api/v1/questions/{id}.","304","test_get_question_by_id","tests.api","Sat May 23 22:01:15 UTC 2026","passed","Sat May 23 22:01:15 UTC 2026","TestCoursesNewEndpoints","test_courses","",""
"POST /auth/api/interview/schedule with bad date → 404/422.","287","test_p1_schedule_interview_invalid_date","tests.api","Sat May 23 21:58:43 UTC 2026","passed","Sat May 23 21:58:43 UTC 2026","TestAuthUniversityP1","test_auth","",""
"P1: Get shortlisted candidates with enhanced info.","287","test_get_shortlisted_candidates_enhanced","tests.api","Sat May 23 21:59:40 UTC 2026","passed","Sat May 23 21:59:40 UTC 2026","TestAuthShortlistEnhanced","test_auth","",""
"Login with empty body → 422 (validation error).","1162","test_p1_login_empty_payload","tests.api","Sat May 23 21:58:16 UTC 2026","passed","Sat May 23 21:58:17 UTC 2026","TestAuthPublicP1","test_auth","",""
"P1: POST /api/v1/tenants/{id}/wallet/issue with empty → 422.","291","test_p1_tenant_issue_empty","tests.api","Sat May 23 22:00:35 UTC 2026","passed","Sat May 23 22:00:36 UTC 2026","TestBillingNewEndpointsP1","test_billing","",""
"","310","test_week_start","tests.api","Sat May 23 22:00:01 UTC 2026","passed","Sat May 23 22:00:02 UTC 2026","TestAuthIDPAssessments","test_auth","",""
"","305","test_average_completion_rates","tests.api","Sat May 23 22:00:52 UTC 2026","passed","Sat May 23 22:00:52 UTC 2026","TestCoursesAnalytics","test_courses","",""
"","122954","test_generate_mcq","tests.api","Sat May 23 22:04:27 UTC 2026","failed","Sat May 23 22:06:30 UTC 2026","TestQuizAPIs","test_quiz","",""
"GET /api/students/results/99999 → 404.","308","test_p1_student_result_detail_nonexistent","tests.api","Sat May 23 21:59:06 UTC 2026","passed","Sat May 23 21:59:06 UTC 2026","TestAuthStudentAssessmentsP1","test_auth","",""
"P1: Get JDs uploaded by a specific user.","286","test_get_jds_by_user","tests.api","Sat May 23 21:59:38 UTC 2026","passed","Sat May 23 21:59:38 UTC 2026","TestAuthJDExtended","test_auth","",""
"","307","test_record_quiz_question_result","tests.api","Sat May 23 22:00:54 UTC 2026","passed","Sat May 23 22:00:55 UTC 2026","TestCoursesAnalytics","test_courses","",""
"P1: PUT /wallet/controls without token → 401/403.","337","test_p1_update_controls_no_auth","tests.api","Sat May 23 22:00:22 UTC 2026","passed","Sat May 23 22:00:22 UTC 2026","TestBillingWallet","test_billing","",""
"","304","test_p1_search_empty_query","tests.api","Sat May 23 22:00:59 UTC 2026","passed","Sat May 23 22:00:59 UTC 2026","TestCoursesSearchP1","test_courses","",""
